eprew,epcount,best_ext_ret,best_eplen,total_secs,eplen,recent_worst_eplen,recent_best_ext_ret,eprew_recent,tcount,rew_mean,n_updates,eplen_std,eprew_std,recent_best_eplen
-22.3890625,512.0,-15.875,120,656.0085334777832,120.0,120,-15.875,-22.39752197265625,61440.0,-0.15845287,1,0.0,1.1652301191046985,120
-22.434375,1056.0,-15.875,120,1306.6584794521332,120.0,120,-18.53125,-22.610121783088236,126720.0,-0.17811318,2,0.0,1.193852253474022,120
-22.5625,1568.0,-15.875,120,1955.960899591446,120.0,120,-19.0,-22.59893798828125,188160.0,-0.17956665,3,0.0,1.1447911927508876,120
-22.565625,2112.0,-15.875,120,2598.2765135765076,120.0,120,-18.21875,-22.677045036764707,253440.0,-0.1812827,4,0.0,1.1701821105601469,120
-22.5046875,2656.0,-15.875,120,3245.902430295944,120.0,120,-16.96875,-22.417107077205884,318720.0,-0.17901012,5,0.0,1.0442492724291217,120
-21.9703125,3168.0,-15.875,120,3899.316703081131,120.0,120,-16.03125,-22.03314208984375,380160.0,-0.1757889,6,0.0,1.4978003076908317,120
-21.5359375,3712.0,-14.78125,120,4539.005247116089,120.0,120,-14.78125,-21.61374080882353,445440.0,-0.17223828,7,0.0,1.6182031834626793,120
-20.55625,4256.0,-13.84375,120,5183.103210449219,120.0,120,-13.84375,-20.937614889705884,510720.0,-0.16701508,8,0.0,1.7153261351708018,120
-19.9234375,4768.0,-13.84375,120,5838.36461186409,120.0,120,-14.15625,-20.26800537109375,572160.0,-0.16076943,9,0.0,1.9716118831983007,120
-19.7140625,5312.0,-11.1875,120,6478.4317264556885,120.0,120,-11.1875,-19.563246783088236,637440.0,-0.15573856,10,0.0,2.2262477847757083,120
-18.41875,5856.0,-11.1875,120,7124.899700880051,120.0,120,-11.96875,-18.833409926470587,702720.0,-0.14937176,11,0.0,1.8989460481409157,120
-18.603125,6368.0,-11.1875,120,7776.08810710907,120.0,120,-11.65625,-18.3792724609375,764160.0,-0.1447959,12,0.0,1.9042535652126267,120
-17.0578125,6912.0,-9.625,120,8416.31540107727,120.0,120,-9.625,-17.164924172794116,829440.0,-0.1356462,13,0.0,2.193769475518964,120
-16.1953125,7456.0,-8.53125,120,9063.40742468834,120.0,120,-8.53125,-16.227136948529413,894720.0,-0.12813985,14,0.0,2.332826105117728,120
-14.8875,7968.0,-6.96875,120,9713.057646036148,120.0,120,-6.96875,-14.92559814453125,956160.0,-0.115620926,15,0.0,2.3037079486124106,120
-13.3421875,8512.0,-5.5625,120,10355.917278289795,120.0,120,-5.5625,-13.440487132352942,1021440.0,-0.10565372,16,0.0,2.554703746125713,120
-13.1625,9056.0,-5.5625,120,10997.984580755234,120.0,120,-7.125,-12.760340073529411,1086720.0,-0.09950229,17,0.0,2.213850223592373,120
-11.2890625,9568.0,-4.78125,120,11649.909367799759,120.0,120,-4.78125,-11.7386474609375,1148160.0,-0.08951457,18,0.0,2.2795771906142486,120
-10.2421875,10112.0,-2.59375,120,12290.069833278656,120.0,120,-2.59375,-10.326114430147058,1213440.0,-0.080020405,19,0.0,2.373496131599702,120
-9.71875,10656.0,-2.59375,120,12935.235057115555,120.0,120,-3.375,-9.654871323529411,1278720.0,-0.073645905,20,0.0,1.7495814231552642,120
-8.5546875,11168.0,-2.59375,120,13583.340774536133,120.0,120,-3.21875,-8.46807861328125,1340160.0,-0.062672265,21,0.0,2.006383246159305,120
-7.6703125,11712.0,-1.65625,120,14222.709670305252,120.0,120,-1.65625,-7.673023897058823,1405440.0,-0.058621146,22,0.0,1.8339909894050053,120
-6.7453125,12256.0,-1.34375,120,14864.903618335724,120.0,120,-1.34375,-6.9296875,1470720.0,-0.05159059,23,0.0,2.0685582190184424,120
-6.0828125,12768.0,-0.71875,120,15512.559942483902,120.0,120,-0.71875,-6.16949462890625,1532160.0,-0.04329465,24,0.0,1.9714830979414326,120
-5.4875,13312.0,-0.5625,120,16154.40691113472,120.0,120,-0.5625,-5.421760110294118,1597440.0,-0.04097778,25,0.0,1.559290453619851,120
