tcount,best_eplen,recent_worst_eplen,eplen,eprew_std,recent_best_eplen,eplen_std,eprew_recent,best_ext_ret,rew_mean,total_secs,eprew,epcount,recent_best_ext_ret,n_updates
63360.0,90,90,90.0,0.6378675411086538,90,0.0,-16.92911044034091,-14.5625,-0.1607876,643.8958113193512,-16.925,704.0,-14.5625,1
126720.0,90,90,90.0,0.6537975006643876,90,0.0,-16.994806463068183,-14.5625,-0.17929654,1292.3017134666443,-16.990625,1408.0,-14.5625,2
190080.0,90,90,90.0,0.6684487493209558,90,0.0,-17.053178267045453,-14.5625,-0.18072289,1934.1346397399902,-17.1265625,2112.0,-14.71875,3
253440.0,90,90,90.0,0.8110850058524999,90,0.0,-16.920676491477273,-13.46875,-0.17929146,2577.410276412964,-16.8609375,2816.0,-13.46875,4
319680.0,90,90,90.0,0.7612101667534071,90,0.0,-16.84659476902174,-13.46875,-0.17857003,3217.437152862549,-16.8578125,3552.0,-14.71875,5
383040.0,90,90,90.0,0.7308408978490121,90,0.0,-16.742009943181817,-13.46875,-0.17744029,3857.6591024398804,-16.6890625,4256.0,-13.625,6
446400.0,90,90,90.0,0.9219862221042133,90,0.0,-16.667214133522727,-13.46875,-0.17620087,4494.338591337204,-16.6,4960.0,-14.5625,7
509760.0,90,90,90.0,0.6272148256379149,90,0.0,-16.566228693181817,-13.46875,-0.17482926,5131.755572319031,-16.58125,5664.0,-14.5625,8
573120.0,90,90,90.0,0.6986506945310725,90,0.0,-16.529607599431817,-13.46875,-0.17407788,5779.619133234024,-16.6515625,6368.0,-13.625,9
639360.0,90,90,90.0,0.7833970497136175,90,0.0,-16.378269361413043,-13.46875,-0.17277057,6417.089689016342,-16.33125,7104.0,-13.625,10
702720.0,90,90,90.0,0.7412559943897588,90,0.0,-16.236194957386363,-13.46875,-0.17116192,7063.088953495026,-16.2359375,7808.0,-13.625,11
766080.0,90,90,90.0,0.792395497841829,90,0.0,-16.02401455965909,-13.46875,-0.16849455,7709.5206990242,-16.13125,8512.0,-13.46875,12
829440.0,90,90,90.0,0.8445872582029345,90,0.0,-15.931241122159092,-12.53125,-0.16744666,8440.0024664402,-15.9859375,9216.0,-12.53125,13
895680.0,90,90,90.0,0.8743077618893705,90,0.0,-15.813773777173912,-12.53125,-0.16641717,9257.772794246674,-15.86875,9952.0,-13.46875,14
959040.0,90,90,90.0,0.8867789764789195,90,0.0,-15.606312144886363,-12.53125,-0.1644498,10071.556925058365,-15.796875,10656.0,-13.3125,15
1022400.0,90,90,90.0,0.9055425579279806,90,0.0,-15.509099786931818,-12.53125,-0.16303302,10887.901605129242,-15.4921875,11360.0,-12.53125,16
1085760.0,90,90,90.0,0.7819044134155722,90,0.0,-15.370161576704545,-12.375,-0.16139038,11601.598861694336,-15.2515625,12064.0,-12.375,17
1149120.0,90,90,90.0,0.9478323852183731,90,0.0,-15.212357954545455,-12.375,-0.15974042,12251.740717411041,-15.1265625,12768.0,-12.375,18
1215360.0,90,90,90.0,0.8836334678297049,90,0.0,-15.054177989130435,-12.375,-0.15863869,12893.875790834427,-15.2796875,13504.0,-12.375,19
1278720.0,90,90,90.0,0.8658717495788566,90,0.0,-14.8505859375,-11.4375,-0.15622617,13532.774389505386,-14.9484375,14208.0,-11.4375,20
1342080.0,90,90,90.0,0.8575491968394583,90,0.0,-14.769131747159092,-11.28125,-0.15510502,14175.924819946289,-14.675,14912.0,-11.28125,21
