n_updates,eplen,best_ext_ret,eprew,eprew_recent,recent_best_ext_ret,total_secs,tps,epcount,tcount,,,,
1,1000,-166,-181.44,-181.546875,-166,470.2106347,544.4368546,128,128000,,,,
2,1000,-166,-181.28,-181.4453125,-170,931.0337768,555.5276561,384,384000,,,,
3,1000,-166,-180.18,-180.5625,-166,1383.742346,565.4852092,640,640000,,,,
4,1000,-166,-178.66,-179.03125,-166,1830.92375,572.4746105,896,896000,,,,
5,1000,-166,-175.76,-176.7109375,-166,2286.865427,561.4753221,1152,1152000,,,,
6,1000,-166,-175.22,-175.46875,-166,2745.48783,558.1934038,1408,1408000,,,,
7,1000,-166,-173.16,-174.5,-166,3203.544189,558.883191,1664,1664000,,,,
8,1000,-166,-172.36,-172.734375,-166,3665.615279,554.0273038,1920,1920000,,,,
9,1000,-166,-173.46,-173.1171875,-166,4130.713839,550.4209693,2176,2176000,,,,
10,1000,-166,-171.72,-172.453125,-166,4591.692595,555.3401242,2432,2432000,,,,
11,1000,-166,-171.16,-171.671875,-166,5047.329683,561.8506636,2688,2688000,,,,
12,1000,-166,-171.3,-171.0859375,-166,5503.501844,561.1916335,2944,2944000,,,,
13,1000,-166,-169.92,-170.6640625,-166,5952.772609,569.812282,3200,3200000,,,,
14,1000,-162,-170.76,-170.6328125,-162,6414.211899,554.7858747,3456,3456000,,,,
15,1000,-154,-171.26,-171.0078125,-154,6876.637914,553.6020717,3712,3712000,,,,
16,1000,-154,-170.1,-170.296875,-158,7331.095621,563.3087435,3968,3968000,,,,
17,1000,-154,-170.68,-170.375,-162,7793.858155,553.1994946,4224,4224000,,,,
18,1000,-154,-170.52,-170.0703125,-154,8258.156174,551.3700025,4480,4480000,,,,
19,1000,-154,-169.56,-169.4609375,-154,8716.249054,558.8386361,4736,4736000,,,,
20,1000,-150,-169.42,-169.703125,-150,9181.15353,550.6507536,4992,4992000,,,,
21,1000,-150,-169.34,-170.171875,-150,9646.924439,549.6264261,5248,5248000,,,,
22,1000,-150,-169.28,-169.6015625,-150,10104.63698,559.3030107,5504,5504000,,,,
23,1000,-150,-168.92,-169.1015625,-150,10565.68481,555.2569238,5760,5760000,,,,
24,1000,-150,-167.8,-168.1640625,-150,11020.52266,562.8379411,6016,6016000,,,,
25,1000,-150,-168.3,-168.609375,-150,11481.31304,555.5671491,6272,6272000,,,,
26,1000,-150,-167.66,-167.6875,-150,11943.54173,553.8384105,6528,6528000,,,,
27,1000,-150,-167.36,-167.5,-150,12394.90893,567.1657126,6784,6784000,,,,
28,1000,-142,-165.76,-166.671875,-142,12849.21332,563.4988418,7040,7040000,,,,
29,1000,-142,-164.28,-165.28125,-142,13314.88454,549.7440837,7296,7296000,,,,
30,1000,-142,-163.8,-164.4375,-142,13773.31973,558.4213606,7552,7552000,,,,
31,1000,-134,-164.48,-164.8203125,-134,14228.13483,562.8661022,7808,7808000,,,,
32,1000,-134,-163.84,-163.7734375,-142,14679.05468,567.7283834,8064,8064000,,,,
33,1000,-134,-163.96,-163.28125,-134,15133.62093,563.1742361,8320,8320000,,,,
34,1000,-134,-162.16,-162.34375,-142,15598.65845,550.4932094,8576,8576000,,,,
35,1000,-134,-162.88,-162.234375,-142,16070.03209,543.0935865,8832,8832000,,,,
36,1000,-134,-161.62,-162.6015625,-142,16530.17866,556.3444787,9088,9088000,,,,
37,1000,-134,-161,-161.75,-142,16995.15561,550.5649259,9344,9344000,,,,
38,1000,-134,-161.62,-161.5078125,-142,17461.67167,548.7485225,9600,9600000,,,,
39,1000,-134,-163.04,-162.8125,-146,17926.07543,551.2444648,9856,9856000,,,,
40,1000,-134,-161.68,-162.375,-142,18393.76205,547.3750669,10112,10112000,,,,
41,1000,-134,-162.24,-161.9140625,-146,18859.92267,549.166943,10368,10368000,,,,
42,1000,-134,-160.96,-161.28125,-134,19321.64894,554.4410571,10624,10624000,,,,
43,1000,-134,-161.4,-161.53125,-134,19785.69573,551.6685016,10880,10880000,,,,
44,1000,-134,-160.12,-160.8125,-142,20247.12111,554.8026,11136,11136000,,,,
45,1000,-134,-161.76,-161.078125,-142,20708.87592,554.406789,11392,11392000,,,,
46,1000,-134,-160.28,-160.609375,-142,21174.80005,549.4456797,11648,11648000,,,,
47,1000,-134,-160.56,-160.703125,-142,21642.00513,547.9392422,11904,11904000,,,,
48,1000,-134,-161.92,-161.6875,-142,22106.68313,550.9191328,12160,12160000,,,,
49,1000,-134,-161.84,-161.1875,-134,22568.92915,553.8176453,12416,12416000,,,,
50,1000,-134,-160,-160.28125,-134,23018.52062,569.4058232,12672,12672000,,,,
51,1000,-134,-160.68,-160.28125,-142,23472.12549,564.3678339,12928,12928000,,,,
52,1000,-134,-160.28,-160.390625,-150,23928.59208,560.8296535,13184,13184000,,,,
53,1000,-134,-159.36,-159.96875,-142,24386.6996,558.8207702,13440,13440000,,,,
54,1000,-134,-160.4,-159.453125,-142,24851.96993,550.2177652,13696,13696000,,,,
55,1000,-134,-159.72,-159.9375,-146,25317.44911,549.970901,13952,13952000,,,,
56,1000,-134,-159.32,-159.34375,-134,25777.72527,556.1878229,14208,14208000,,,,
57,1000,-134,-159.28,-159.75,-142,26236.93097,557.4843765,14464,14464000,,,,
58,1000,-134,-160.64,-160.296875,-142,26686.33326,569.6455127,14720,14720000,,,,
59,1000,-134,-159.52,-159.515625,-142,27146.52788,556.2863777,14976,14976000,,,,
60,1000,-134,-159.32,-158.9765625,-142,27610.66987,551.5553654,15232,15232000,,,,
61,1000,-134,-158.68,-159.796875,-142,28067.52573,560.3517918,15488,15488000,,,,
62,1000,-134,-160.16,-158.515625,-142,28530.0305,553.5077969,15744,15744000,,,,
63,1000,-134,-159.38,-159.3359375,-142,28984.47177,563.329126,16000,16000000,,,,
64,1000,-134,-156.68,-158.109375,-134,29438.72967,563.5565145,16256,16256000,,,,
65,1000,-134,-158.2,-157.984375,-142,29898.09015,557.2965234,16512,16512000,,,,
66,1000,-134,-159.12,-158.390625,-142,30360.37904,553.7662885,16768,16768000,,,,
67,1000,-134,-159.36,-159.03125,-142,30820.32958,556.5815759,17024,17024000,,,,
68,1000,-134,-157.64,-157.921875,-134,31275.86388,561.977449,17280,17280000,,,,
69,1000,-134,-158.6,-158.390625,-134,31743.9247,546.9374701,17536,17536000,,,,
70,1000,-134,-158.08,-157.6875,-142,32197.57414,564.3123787,17792,17792000,,,,
71,1000,-134,-157.68,-157.84375,-134,32657.7917,556.2586621,18048,18048000,,,,
72,1000,-134,-157,-157.5078125,-142,33111.09444,564.7439906,18304,18304000,,,,
73,1000,-134,-156.36,-156.03125,-134,33566.24401,562.4524747,18560,18560000,,,,
74,1000,-134,-156.24,-156.421875,-142,34030.06125,551.9415349,18816,18816000,,,,
75,1000,-134,-155.88,-156.140625,-142,34495.48145,550.0405866,19072,19072000,,,,
76,1000,-134,-156.48,-156.453125,-134,34955.28699,556.7570942,19328,19328000,,,,
77,1000,-134,-157.12,-156.375,-142,35411.98152,560.5497484,19584,19584000,,,,
78,1000,-134,-157.44,-157.03125,-134,35867.21917,562.3436422,19840,19840000,,,,
79,1000,-134,-155.04,-155.75,-142,36331.47031,551.4256781,20096,20096000,,,,
80,1000,-134,-154.76,-155.34375,-142,36791.26275,556.7729634,20352,20352000,,,,
81,1000,-134,-155.76,-155.6796875,-134,37249.89301,558.1838457,20608,20608000,,,,
82,1000,-126,-155.12,-155.21875,-126,37715.42865,549.9041873,20864,20864000,,,,
83,1000,-126,-155.52,-155.375,-142,38170.56299,562.4712943,21120,21120000,,,,
84,1000,-126,-154.32,-154.53125,-134,38627.20298,560.6166914,21376,21376000,,,,
85,1000,-126,-154.8,-154.671875,-126,39085.30586,558.8264386,21632,21632000,,,,
